Age CE	PC1	PC2	Period
1988	5.497309601252822	4.665522947034991	CWP
1967	1.6019103317806918	0.8696417867126867	CWP
1947	6.071285179210994	4.4225877822509	CWP
1919	2.5371429867619404	-0.21858518822789016	CWP
1892	3.5062250801837807	1.552572130096628	CWP
1864	0.8448964820639079	-0.40940492650449095	CWP
1837	2.17967206183025	-0.3214222225294777	LIA
1809	0.8988355672080057	0.04148437578036573	LIA
1782	4.364447044242187	-1.852401167749482	LIA
1754	2.739193329210247	-2.2281367086336603	LIA
1726	4.622340824437197	-0.6444863029558533	LIA
1695	2.151742130259663	-2.0831141294992004	LIA
1661	1.2112998101466568	-1.3143581799967485	LIA
1627	1.4694401350885515	-1.0518951537608967	LIA
1602	0.5362123528652795	-1.0942618855504038	LIA
1560	-1.5059676564131044	-1.7047765689449785	LIA
1527	-0.9926035394634032	-2.7413819157927968	LIA
1485	-2.2911294472284096	-1.681173425352868	LIA
1459	-1.5018682355070767	-2.843013429241658	LIA
1426	-1.6703165519281344	-1.9820630856813914	LIA
1393	-0.9103292032284114	-2.748781136351129	MCA
1359	-3.445893209150082	-0.8609871424105797	MCA
1332	-1.010226205571883	-2.4907832226561153	MCA
1269	-2.82732081603368	0.49949435285140303	MCA
1219	-1.1825227404247904	-0.6963935539107255	MCA
1170	-2.8666572679911946	1.5074908306165764	MCA
1120	-1.191502343834526	-0.027074758835043896	MCA
1069	-2.4305066016931614	0.41792923534111287	MCA
993	-2.4607941246715948	0.028074982167654125	MCA
967	-3.9781272749094723	3.4930096298316835	MCA
917	-1.6185562790774661	1.2470437260609941	MCA
867	-2.96854055010449	3.4260449511309865	Unknown
818	-2.1815026824825567	1.2849285828070491	Unknown
768	-1.585058299871167	1.5073164251449263	Unknown
720	-2.4260012885204483	2.448166267002706	Unknown
677	-2.0453316449995746	1.6461658583744698	S&TWP
635	-0.841255601303555	1.6603185708153128	S&TWP
604	-1.8493456548274367	1.2474727938816397	S&TWP
552	-1.7287533038998373	1.6254821655736111	S&TWP
512	0.33550086840628646	0.5233598184290831	DACP
474	1.1296075886370522	0.5871781516627943	DACP
438	0.8561279047639307	-0.09636089468786277	DACP
403	1.593727755993206	-0.6360008535608135	DACP
368	1.4524896574513724	-0.34690203616865406	DACP
334	1.9277143303180624	-0.6563617920899848	DACP
300	1.1978415247931598	-0.43237772091522614	DACP
264	0.8838188824986097	-0.4940261486143373	DACP
228	0.5233199140624148	-0.17241813799532718	DACP
194	0.13756439598987782	-1.207851381045975	RWP
159	-1.350726023019613	0.5687648146645807	RWP
124	-1.6373185084028326	0.537534435629804	RWP
97	0.8657720898493582	-0.6150390947244232	RWP
71	-0.6372827747475933	-2.155752449473963	RWP
